Timestamp,Class Period,"Participant ID (4 digits e.g. 7000, 7001)",Trial Number,Male or Female,Hand: Left (L) or Right (R),Hand: D for (Dominant - the one you write with) OR N (Non-Dominant),Distance (cm OR drop),age-range,Time (s)
,7-102,9050,2,f,r,d,25,child,
,7-102,9050,3,f,r,d,7,child,
,7-102,9050,4,f,r,d,17,child,
,7-102,9050,5,f,r,d,13,child,
,7-102,9050,1,f,l,n,21,child,
,7-102,9050,2,f,l,n,1.5,child,
,7-102,9050,3,f,l,n,4,child,
,7-102,9050,4,f,l,n,12,child,
,7-102,9050,5,f,l,n,0.5,child,
,7-102,9055,1,m,l,d,drop,child,
,7-102,9055,2,m,l,d,23,child,
,7-102,9055,3,m,l,d,3.5,child,
,7-102,9055,4,m,l,d,28,child,
,7-102,9055,5,m,l,d,20,child,
,7-102,9055,1,m,r,n,15,child,
,7-102,9055,2,m,r,n,27,child,
,7-102,9055,3,m,r,n,17,child,
,7-102,9055,4,m,r,n,na,child,
,7-102,9055,5,m,r,n,na,child,
,7-102,9054,1,m,r,d,24,child,
,7-102,9054,2,m,r,d,12.5,child,
,7-102,9054,3,m,l,n,1.5,child,
,7-102,9054,4,m,l,n,1,child,
,7-102,9054,1,m,r,d,10,child,
,7-102,9054,2,m,r,d,1.5,child,
,8-101,8000,1,f,r,d,9,child,
,8-101,8000,2,f,r,d,12,child,
,8-101,8000,3,f,r,d,10,child,
,8-101,8000,4,f,r,d,9,child,
,8-101,8000,5,f,r,d,11,child,
,8-101,8000,1,f,l,n,9,child,
,8-101,8000,2,f,l,n,4,child,
,8-101,8000,3,f,l,n,6,child,
,8-101,8000,4,f,l,n,8,child,
,8-101,8000,5,f,l,n,12,child,
,8-101,8001,1,f,r,d,12,child,
,8-101,8001,2,f,r,d,14,child,
,8-101,8001,3,f,r,d,2,child,
,8-101,8001,4,f,r,d,4,child,
,8-101,8001,5,f,r,d,10,child,
,8-101,8001,1,f,l,n,10,child,
,8-101,8001,2,f,l,n,15,child,
,8-101,8001,3,f,l,n,7,child,
,8-101,8001,4,f,l,n,6,child,
,8-101,8001,5,f,l,n,7,child,
,8-101,8002,1,f,r,d,7.5,child,
,8-101,8002,2,f,r,d,7,child,
,8-101,8002,3,f,r,d,8,child,
,8-101,8002,4,f,r,d,6.5,child,
,8-101,8002,5,f,r,d,12.5,child,
,8-101,8002,1,f,l,n,9,child,
,8-101,8002,2,f,l,n,6.4,child,
,8-101,8002,3,f,l,n,14,child,
,8-101,8002,4,f,l,n,2,child,
,8-101,8002,5,f,l,n,16,child,
,8-101,8003,1,f,r,d,10,child,
,8-101,8003,2,f,r,d,9,child,
,8-101,8003,3,f,r,d,1,child,
,8-101,8003,4,f,r,d,12,child,
,8-101,8003,5,f,r,d,15.5,child,
,8-101,8003,1,f,l,n,drop,child,
,8-101,8003,2,f,l,n,9,child,
,8-101,8003,3,f,l,n,6,child,
,8-101,8003,4,f,l,n,16,child,
,8-101,8003,5,f,l,n,10.5,child,
,8-101,8004,1,m,l,d,12,child,
,8-101,8004,2,m,l,d,11,child,
,8-101,8004,3,m,l,d,11,child,
,8-101,8004,4,m,l,d,8,child,
,8-101,8004,5,m,l,d,9,child,
,8-101,8004,1,m,r,n,27,child,
,8-101,8004,2,m,r,n,16,child,
,8-101,8004,3,m,r,n,16,child,
,8-101,8004,4,m,r,n,14,child,
,8-101,8004,5,m,r,n,8,child,
,8-101,8005,1,m,r,d,18,child,
,8-101,8005,2,m,r,d,13,child,
,8-101,8005,3,m,r,d,15,child,
,8-101,8005,4,m,r,d,20,child,
,8-101,8005,5,m,r,d,25,child,
,8-101,8005,1,m,l,n,15,child,
,8-101,8005,2,m,l,n,16,child,
,8-101,8005,3,m,l,n,15,child,
,8-101,8005,4,m,l,n,14,child,
,8-101,8005,5,m,l,n,11,child,
,8-101,8011,1,m,r,d,20,child,
,8-101,8011,2,m,r,d,14,child,
,8-101,8011,3,m,r,d,14,child,
,8-101,8011,4,m,r,d,11,child,
,8-101,8011,5,m,r,d,5,child,
